content,score
update nya lama 1jam dan di dalam nya juga banyak orang stress,1
enak banyak feed komedi dan melihat konten kreator lainya dan saling ib&fb,5
apacoba kalo di buka apknya selalu stuck di loading loading gajelas,1
"tik tok nih gimana si?? gw kan mau klaim koin, masa hari ini gk bisa di klaim koinnya??",4
mantap,5
mantep lah pokoknya.,5
"tik, tik, tok. hehe Hha. platform media sosial. yg sangat bagus di jaman sekarang ini,. beda dgn yg lain. disini bisa jual barang dagang secara online. huft dan banyak lagi poko nya. sukses terus tiktok. and always berjaya.",5
seruu,5
tapi tolong di benerin bajak yang sesat,5
"apalah gw udah upgrade ga ada stiker nya,jelek bnget,bug nya juga bnyak,tolong ya kalo upgrade tu yang lebih bagus, menginstal nya lama juga..",2
Keren bet sumpah,5
gara-gara aplikasi ini aku bisa dapat duit,5
karna kalo gabut scroll tiktok,5
saya belum ada update bahkan stiker pun di hilangkan..,1
Sagat jelek,5
"itu kan do TikTok nya ada filter sapi,,,, tapi pas saya pencet kok gk bisa ya?? apa harus di up dlu?",3
sering bug,1
mantap,5
debesttt pokoknya,5
sangat bagus,5
banyak bug,2
"untuk pengalaman ditiktok sangat seru, Krn medsos tiktok sy bisa dapat panggilan nama sy langsung dr seorang artis2 ternama Krn mereka posisi LG live prodak, disisi lain tiktok bisa sy mengetahui apa yg blm prnh sy ketahui, jadi harapan sy kedepan dgn tiktok ini bisa membawa saya terbang sampai kemana pun untuk berkelana keliling dunia. salam kagum kepada pemilik tiktok semoga selalu bahagia dalam kehidupan hari2 nya.amiiinnn.",5
bagus dan tidak sombong,5
"APLIKASI RUSAK. bolak balik uninstall install buat masuk ke akun tetep gak bisa, ini kenapa lagi sih.",1
bagus di perbaiki lagi bug bug nya,5
"aduh lagi lagi pelanggaran kebanyakan pl bikin bad mod ajukan banding juga percuma masa dikit"" pl apk eror",1
tiktok bagus banget aku suka aplikasi nya,5
"aplikasi ini seru banget, bisa jadi tempat galau , bisa jadi tempat ketawa tawa , tapi minus nya kadang ada video 18+ disini",5
jelek banget sekarang banyak Bugnya😡,1
karna gak ada vn 😔,1
baik,5
bagus,5
ngleeg bget klo ngepost,2
pless ini kok gk kyk biasa nya tiktok nya aku daftar tanggal lahir gk bisa bisa padahal udah beribu kali coba tapi tetap gk bisa padahal aku make nya di atas 16,3
Aku pernah tapi saat di hapus 3 akun ku hanguss,3
Bagus,5
aplikasi nya gampang banget bug dan ngabisin banyak penyimpanan,1
sekarang tiktok malah di mempersulit penggunanya padahal umur saya sudah 17+ malah masih dikira di bawah 13 mau live pun malah gabisa dan dikit-dikit ada notif istirahat dulu setiap 1 jam bikin males buka tiktok,2
bguss,2
baguss sekali bossy,5
"aku kasih bintang lima karena tiktok ini emang sangat bagus, tapi akhir akhir ini kenapa tiktok bug, aku sudah post vt/foto dan di tunggu 1jm view nya tetap 0 , dan ternyata masih ada keterangan ""posting sedang diproses"" , sudah satu hari tetap seperti itu. aku ulang tetap sama aja, tolong di perbaiki masalah ini, ini sangat menggangu aktivitas saya di tiktok saat post vt.",5
jyujur sukak,5
bagus,5
aku udah main dari 2019 dan perkembangan nya makin bagus,5
"aplikasi nya tiba² tidak bisa login pakai semua akun, dibilang ga ada jaringan padahal wifi nya bagus. update kali ini tidak seru, gabisa login dan macet² an padahal sinyal bagus",5
karba seru,5
ok menghibur,5
ngeleg parah,1
sangat gamon buat galau in mantan,5
good,5
aplikasi ini sangat seru,5
"ok, ada yg cocok dan pas, tapi kadang mengecewakan",4
sangat bagus untuk posting walapun harus edit di capcut tapi tetap enak di posting,5
bagus tapi masih tetap ada minusnya 😀🙏🏾,3
"Fitur TikTok Tako, Voice Note, & Sorotan belum muncul di saya, tambahan tolong di perkecilkan ini ukuran penyimpanan TikToknya, Gede banget penyimpanannya ampe ±4GB-an",3
"min tolong perbaikilah ini tik tok saya kok nge freze"" gini tolong min",4
tolong dong jangan sampe 160MB kegedean nyedot memori banyak bgt jdi lemot juga gak jelas,1
"kenapa rebet banget si cuma login ke tiktok atau bikin akun tiktok 4nj1ng,yg susahnya di tanggal lahir 4nj1ng dari 1995 sampe 2026,tetep aja ada bacan""MAAF,SEPERTINYA ANDA TIDAK MEMENUHI SYARAT TIKTOK"" padahal gw dah coba pake akun gogle,fesbook,sama email . 4nj1ng emang",1
"Tambah parah, masih sering keluar sendiri dari aplikasi padahal hpku masih banyak ruang kosongnya🙏",4
sudah bagus cuma tiktok ini tidak terlalu menyenangkan hanya saja kurang voice telepon dan jaga hal yg baik dan tidak baik bagi anak anak mohon bantuan nya untuk anak,4
buat lu pada bocil yang mau download tiktok mending jangan deh nanti iq lu turun,5
sangat bagus 👍,5
sangat cocok,1
kasi fitur fn napa,2
bagusss bngt,5
tiktok di hatiii😘,5
bagusssss bngtt,5
akun saya di tangguhkan padahal saya umu 21 tahunnnnnn,3
aku di blokir 😐,3
𝒏𝒈𝒆𝒍𝒆𝒌,5
jelek,1
"Apk ini bagus banget mengisi ke gabutan ku, tapi makin update makin gajelas fitur"" nya",2
bagus banget untuk tiktok kan nonton video 👍👍,5
bagus buat liat liat vidio bagus ini lohhh,5
bikin lupa waktu dan Jam nya. Tidur malam Malam dan bangun tidur kesiangan ha ha ha ha ha ha ha ha ha,5
kok aku gabisa update ya?,2
bagus,5
Wah tik tok sangan bagus sekali !!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!! Kan aku sudah bilang di atas sudah kubilang bagus,5
Mantap,5
tidak bisa di update woi,1
sangat bagus,5
seruuu,5
akun ku di blok tapi akun temen ku gk,1
ya seru aja sih cuman ada konten yang gak pantes aja gitu,5
diperbaiki lagi yaa bug nya,4
bnyk SDM rendah main apk ini contohnya saya dan teman teman saya,1
"iklan aplikasinya menyebalkan sekali, mau diaplikasi game atau nonton tiba-tiba masuk TikTok tanpa klik apapun. sangat menggangu!",1
kata ku sih bagus yah tapi suka ngelag tapi kata ku gapapa soalnya kalo lagi gabut bisa nonton tiktok,5
kenapa aku gabiba dm orang terus posting video kayak posting video pasti hanya folowers ko yang lihat jadi plisss balikiiiiiinnn oh sama koin ku,2
guys aplikasi ini tuh bagus bgt kalo sering keluar sendiri berarti itu hp kalian aja yang kurang bagus👍👍,5
seru,5
karena bisa bikin streakkk🧟‍♀️,5
bagus,5
suka eror,1
bagus banget,5
memperluas pengalaman,5
"baguss, tapi suka nge bug",4
"update aplikasi nya lama bgt, belum lagi nih aplikasi lelet bgt padahal wifi gw aman aman aja buat main game epep masa ini lag bgt sih belum lagi anda mungkin suka yang ada di tiktok malah lelet parah",2
"udh update berkali kali,ko tetep gaada fitur tata letak ya sampe sekarang?",5
tidak sulit untuk melakukan penarikan,5
asikkkk,5
apaan tiba tiba akun gua di banned selamanya padahal gua gak bikin aktivitas mencurigakan gak jelas tiba tiba di blokir,1
streakk gabisa di post,1
sekarang udah ga bisa bikin grup,1
pesan saya kena pelanggaran padahal ada orang yang ngatain waifu saya ya saya bela lah waifu saya dia ngatai nya ngik ngok loh walaupun cuma joks tapi itu parah tolong ya tiktok jangan tolol dan jangan berpihak pada yang salah pls api aku nanti mati atau nggak aku ganti ke aplikasi lain nih titok,1
top up koin lambat masuk nya🤧,1
tiktok mana sorotan ya sama voice,5
bagus,4
sumpah bagusss banget berguna bisa buat beli atau pun yang mau lihat idolanya,5
"bisa ga jangan tiba tiba masuk tiktok pas buka apk lain, keganggu tau. lagi buka apk, baru sebentar langsung masuk ke tiktok , aku lagi tenang, tiba tiba masuk, pls lah jangan caper, gua butuh istirahat juga, mana masuknya ke tiktok shopee, plis lahh",2
Sangat bagus,5
opsionalkan zemuanya di internet tentang bagaimana caranya agar terhubung dengan 6,5
ngapain njir kok gw di batasi padahal gw dah umur 20,2
opsional ya sangat realis,5
sarang monyet,1
kecewa skrang tiktok berat lag parah suka keluar sendiri tolong perbaiki lagi,1
"aplikasinya bagus dan kontennya beragam. tapi knp tiba² gak bisa klaim koin harian marketplace, kalo di klik ""terjadi kesalahan, silahkan coba lagi"" setelah dicoba tetap tidak bisa. malah crazz di situ gk bisa keluar. buat developer mohon diperbaiki Terima kasih",5
ini sanggat seru,5
thanks for your,5
"gasuka updatean nya. masa baru masuk ke tiktok trs ngeleg tiba-tiba kluar. apa gak jengkel coba, gaada updatean apa2 malah nambah mb nya, mohon segera di perbaiki.. soalnya saat mau ngirim vidio tiba2 lag trs kluar padahal mau hidupin streak. gasuka bgt sama tiktok sekarang, masa mau ngecek notif yang di kotak masuk ga bisa? mohon segera di perbaiki.",2
Terus tingkatkan kualitas keamanan aplikasi ini juga dapat membantu pengembanganya terimakasih,5
kenapa fitur-fitur kayak sorotan telpon ga ada di aku plis jelasin ga tiktok,4
kenapa tik tok GX bisa di gunakan,1
masalah live terus ada gangguan,1
saya loading tidak bisa masuk.,1
please sistem pug nyadiprbarui lg supaya yg os 16 gak mono kl buat live karoke,2
bermanfaat sekali,5
"banyk bug,KLO mau follback orng malah kembali lagi,gajelas tiktok",1
Alhamdulillah sekarang sudah bisa tetapi belum bisa voice chat di komen tiktok,4
"tuas update, ternyata pas suda akun ku tak buka masi gabisa dm an tak kira habis update bisa, hadeh²",1
efek velocity jdi jelek hbis di update,1
"yg gasuka,hapus aja anj tiktoknya,ribet bener",5
karna lucu bisa liat apapun di tiktok ini dan bisa liat cara cara apapun yang ada dan bisa scroll - scroll disini dan bisa juga chat chatan di tiktok ini dan bisa juga liat vidio² yang kamu suka kalau saya yang suka itu vidio mukbang jadi di fyp ku itu mukbang kebanyakan bikbang dan ada juga Valen di sini misal tiktok uang aku donglot ini masih lama aku itu masih Sabar ya bukan langsung di batalin jadi aku harus sabar meskipun ini masih lama. jadi sama aku reting nya 5 bintang deh. akupalingsuka,5
ngeleg,1
"kenapa ketika di buka aplikasi nya tiba-tiba langsung keluar dengan sendirinya,jadi susah mau login juga,kenapa nya kira² ?",1
"gtw mls,bnyak bug,ngelag pdhl wifi lancar,suka mental saat di buka,tlong di prbaiki",1
SUKA BANGET SAMA TIKTOK BISA HIBUR GUWA BANGET,5
bagus aja sih,5
